modelo,variable,lag,acf,pacf
BiGRU-opt,tmin,11,0.02363,0.01969
BiGRU-opt,tmin,12,0.00411,0.00039
BiGRU-opt,tmin,13,-0.00223,-0.00312
BiGRU-opt,tmin,14,0.00666,0.00524
BiGRU-opt,tmin,15,0.01398,0.01222
BiGRU-opt,tmin,16,0.00201,-0.00163
BiGRU-opt,tmin,17,-0.00471,-0.00568
BiGRU-opt,tmin,18,0.00192,0.00071
BiGRU-opt,tmin,19,0.02448,0.02359
BiGRU-opt,tmin,20,-0.00377,-0.00896
