modelo,variable,lag,acf_orig,acf_imp,pacf_orig,pacf_imp
Prophet,tmax,20,0.2945,0.2469,0.0403,0.1495
Prophet,tmin,0,1.0,1.0,1.0,1.0
Prophet,tmin,1,0.9573,0.9166,0.9617,0.9208
Prophet,tmin,2,0.9239,0.9003,0.1008,0.3992
Prophet,tmin,3,0.8919,0.8725,0.0135,0.1129
Prophet,tmin,4,0.8702,0.8466,0.1286,0.0237
Prophet,tmin,5,0.8461,0.8351,-0.0118,0.1146
Prophet,tmin,6,0.8244,0.8183,0.0234,0.0628
Prophet,tmin,7,0.8064,0.7946,0.0652,-0.0442
Prophet,tmin,8,0.7902,0.7795,0.0283,0.0157
Prophet,tmin,9,0.7815,0.7588,0.1187,-0.0025
Prophet,tmin,10,0.7636,0.7394,-0.0893,-0.0167
Prophet,tmin,11,0.746,0.7305,-0.0149,0.0642
Prophet,tmin,12,0.7326,0.7065,0.0794,-0.0491
Prophet,tmin,13,0.7176,0.6924,-0.0427,-0.0019
Prophet,tmin,14,0.7004,0.6817,-0.0285,0.0551
Prophet,tmin,15,0.6813,0.6598,-0.0216,-0.0407
Prophet,tmin,16,0.6565,0.6352,-0.1234,-0.1126
Prophet,tmin,17,0.6343,0.6144,0.0039,-0.0444
Prophet,tmin,18,0.615,0.5885,0.0017,-0.0444
Prophet,tmin,19,0.5939,0.568,-0.0557,-0.0375
Prophet,tmin,20,0.5629,0.5415,-0.1589,-0.0759
TBATS,precip,0,1.0,1.0,1.0,1.0
TBATS,precip,1,0.1593,0.1317,0.16,0.1323
TBATS,precip,2,0.155,0.1882,0.1342,0.1755
TBATS,precip,3,-0.0445,-0.0168,-0.0923,-0.064
TBATS,precip,4,-0.0289,-0.0056,-0.0325,-0.0314
TBATS,precip,5,-0.0335,-0.053,-0.0044,-0.0367
TBATS,precip,6,-0.0123,0.0237,-0.0014,0.0432
TBATS,precip,7,-0.0105,0.0101,-0.0073,0.0201
TBATS,precip,8,-0.0287,-0.0414,-0.0307,-0.0666
TBATS,precip,9,-0.0116,-0.0308,-0.0031,-0.0271
TBATS,precip,10,0.0665,0.0784,0.0842,0.1165
TBATS,precip,11,0.0349,0.0606,0.0134,0.0578
